job_title,skills_languages,skills_frameworks,skills_databases,skills_platforms,wanted_languages,wanted_frameworks,wanted_databases,wanted_platforms,hiring_algorithms,hiring_tech_exp,hiring_communication,hiring_opensource,hiring_education,hiring_execution,problem_solving,building_things,learning_new_tech,invest_time_tools,collaborate_remote,country,years_coding_numeric,job_category
Web developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Java; Matlab; Python,,,Windows Desktop; Linux Desktop,Python,,,Windows Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Czech Republic,12.5,Web Developer
Not specified,C++; Python,Node.js,MySQL; PostgreSQL,,Assembly; C; C++; Python,,MySQL; PostgreSQL,,Very important,Important,Very important,Important,Somewhat important,Important,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,India,4.5,Not specified
Mobile developer; DevOps specialist,C++; C#; Java; JavaScript; SQL,Node.js; Firebase; .NET Core,SQL Server; MySQL,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Strongly agree,Agree,Agree,South Africa,3.5,Mobile Developer
Desktop applications developer,Assembly; C; C++; Objective-C; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,,MongoDB; SQL Server; MySQL; PostgreSQL,Windows Desktop; Linux Desktop,,AngularJS; Node.js; .NET Core,MongoDB; PostgreSQL; SQLite,Windows Desktop; Linux Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Russian Federation,18.5,Desktop Developer
Web developer,JavaScript; PHP,,MySQL; SQLite,WordPress,JavaScript; PHP,AngularJS; Node.js,MongoDB; MySQL; SQLite,Android; iOS; Raspberry Pi; Amazon Web Services (AWS),Somewhat important,Important,Important,Important,Not very important,Somewhat important,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,India,3.5,Web Developer
Web developer,Java,,MySQL,,Java,,MySQL,,Somewhat important,Not very important,Somewhat important,Somewhat important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Strongly agree,Germany,3.5,Web Developer
Developer with a statistics or mathematics background; Database administrator,,,,,,,,,Important,Not very important,Important,Not very important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Belgium,3.5,Database Administrator
Web developer,C; JavaScript; PHP; Python,,,Windows Desktop; Linux Desktop,C; JavaScript; PHP; Python,React,,WordPress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Agree,Agree,Agree,Finland,16.5,Web Developer
Not specified,C++; Java,,,Mac OS,Swift,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Austria,4.5,Not specified
Web developer; Database administrator,,,,,,,,,Somewhat important,Somewhat important,Very important,Not very important,Not very important,Very important,Unknown,Unknown,Unknown,Unknown,Strongly disagree,Germany,11.5,Web Developer
Web developer; Mobile developer; Desktop applications developer; Database administrator,C#; JavaScript; PHP; SQL,Xamarin,SQL Server; MySQL,Windows Desktop; Microsoft Azure,C#; JavaScript; Scala; SQL,Xamarin,SQL Server,Windows Desktop; WordPress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,United Kingdom,2.5,Web Developer
Not specified,Java; JavaScript; SQL,,SQL Server; Oracle,,Java; JavaScript; SQL,Hadoop; Node.js,Oracle,,Important,Important,Very important,Not at all important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Dominican Republic,4.5,Not specified
Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Unknown,Brazil,3.5,Web Developer
Web developer; Mobile developer; Developer with a statistics or mathematics background,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Unknown,India,3.5,Web Developer
Web developer; Quality assurance engineer,JavaScript; Matlab; PHP; Python,AngularJS,MySQL,Linux Desktop; Mac OS,Perl,Node.js,MongoDB; PostgreSQL,Arduino,Very important,Very important,Important,Important,Somewhat important,Important,Agree,Agree,Agree,Somewhat agree,Somewhat agree,India,2.5,Web Developer
Web developer; Machine learning specialist; Systems administrator,C; C++; C#; Go; Hack; Java; JavaScript; Objective-C; PHP; Python; SQL,Node.js,MongoDB; SQL Server; MySQL; SQLite,Linux Desktop; Arduino; Raspberry Pi,Assembly; C; C++; C#; Go; Hack; Java; JavaScript; Objective-C; PHP; Python; SQL,Node.js,MongoDB; MySQL; PostgreSQL; Oracle; SQLite,Linux Desktop; Arduino; Raspberry Pi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Unknown,Agree,Unknown,Unknown,Iran,7.5,Web Developer
Not specified,C++; C#; Python; VBA,,,Android; Windows Desktop; Arduino; Raspberry Pi; WordPress; Microsoft Azure,Java; JavaScript; PHP; Python; SQL,.NET Core,MySQL; Oracle,Windows Desktop; Linux Desktop; Mac OS; Mainframe; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,United Kingdom,4.5,Not specified
Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,4.5,Desktop Developer
Mobile developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,1.5,Mobile Developer
Web developer; Desktop applications developer,Java; SQL,,MySQL,,Java; SQL,,MySQL,,Very important,Important,Somewhat important,Not at all important,Important,Unknown,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Spain,7.5,Web Developer
Developer with a statistics or mathematics background,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,0.5,Data Scientist
Machine learning specialist; Data scientist; Database administrator,Python,Spark,PostgreSQL; SQLite,Windows Desktop; Linux Desktop,C++; Python,Spark,MongoDB; PostgreSQL,Linux Desktop; Amazon Web Services (AWS),Somewhat important,Important,Important,Important,Important,Important,Strongly agree,Agree,Strongly agree,Agree,Unknown,Israel,4.5,Database Administrator
Not specified,,,,,,,,,Not at all important,Not very important,Not very important,Not very important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,Finland,0.5,Not specified
Web developer; Database administrator,JavaScript; SQL,,Oracle,Amazon Web Services (AWS),JavaScript; SQL,AngularJS; React; Cordova,PostgreSQL; Oracle,Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Agree,Agree,Strongly agree,Switzerland,20.0,Web Developer
Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,,,,,,,,,Very important,Important,Very important,Not very important,Somewhat important,Very important,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Germany,7.5,Web Developer
Web developer; Database administrator; Systems administrator,Go; JavaScript; PHP; SQL,Node.js,MongoDB; MySQL,Raspberry Pi; WordPress; Amazon Web Services (AWS),,,,,Important,Important,Not very important,Somewhat important,Not very important,Important,Agree,Agree,Agree,Agree,Unknown,United Kingdom,8.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unknown,Pakistan,4.5,Not specified
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United Kingdom,15.5,Web Developer
Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Other,C; C++; Java; JavaScript; PHP; Python; R; SQL,AngularJS; Hadoop,MySQL; SQLite,Android; Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS); Microsoft Azure,C++; Dart; Go; JavaScript; Python; Rust; Swift,AngularJS; React,MongoDB; Redis,Android; iOS; Mac OS,Important,Not very important,Important,Not very important,Somewhat important,Somewhat important,Strongly agree,Agree,Agree,Disagree,Agree,Poland,5.5,Web Developer
Not specified,,,,,,,,,Important,Important,Somewhat important,Not very important,Somewhat important,Important,Strongly agree,Agree,Agree,Agree,Unknown,Czech Republic,3.5,Not specified
Web developer; Mobile developer,Java; JavaScript; PHP; Python; SQL,,Redis; SQL Server; MySQL; SQLite,Android; Raspberry Pi; Microsoft Azure,Go; Java; JavaScript; PHP; Python; SQL,Node.js; React,Redis; MySQL,Android; Raspberry Pi,Important,Very important,Important,Somewhat important,Important,Important,Agree,Strongly agree,Agree,Agree,Agree,Netherlands,9.5,Web Developer
Web developer,Go; JavaScript; Python,Node.js,,,CoffeeScript,AngularJS; Node.js,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Agree,Somewhat agree,Unknown,United Kingdom,2.5,Web Developer
Web developer; Mobile developer; Desktop applications developer,CoffeeScript; Elixir; Erlang; Groovy; Java; JavaScript; Objective-C; Perl; PHP; Python; Ruby; Swift,Node.js; Cordova; Firebase,MongoDB; MySQL; PostgreSQL,Android; iOS; Windows Phone; Mac OS; Serverless; Amazon Web Services (AWS),Elixir; Erlang; Go; JavaScript; PHP; Python; Ruby; Rust; Swift; TypeScript,Node.js; React; Cordova; Firebase,MongoDB; PostgreSQL,,Important,Very important,Important,Important,Not very important,Important,Agree,Strongly agree,Agree,Agree,Agree,Germany,7.5,Web Developer
Web developer,JavaScript; PHP; SQL,,MySQL,Windows Desktop,JavaScript; PHP; Python,AngularJS; Node.js; React,MongoDB; MySQL,Linux Desktop; Raspberry Pi,Somewhat important,Important,Somewhat important,Somewhat important,Important,Not very important,Unknown,Unknown,Unknown,Unknown,Disagree,Germany,0.5,Web Developer
Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,C++; Haskell; Python,,SQLite,iOS; Mac OS,Haskell; Julia,,SQLite,iOS; Mac OS; Arduino; Raspberry Pi,Very important,Somewhat important,Very important,Not very important,Somewhat important,Important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,United Kingdom,20.0,Data Scientist
Web developer; Machine learning specialist; Data scientist,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,2.5,Web Developer
Not specified,JavaScript; PHP; Python; SQL,Cordova; Firebase,MySQL,Android; iOS; Mac OS; WordPress; Amazon Web Services (AWS),JavaScript; PHP; Python; SQL; Swift,AngularJS; Hadoop; React,Cassandra; Redis; MySQL,Android; iOS; Mac OS; Arduino; Raspberry Pi; Amazon Web Services (AWS),Somewhat important,Important,Important,Important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Strongly disagree,India,4.5,Not specified
Web developer; Graphic designer,JavaScript; SQL,,Oracle,,JavaScript; SQL,,Oracle,,Important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Germany,1.5,Web Developer
Not specified,Assembly; Lua; Python,,MySQL,Linux Desktop,Assembly; C; C++; Common Lisp; Dart; Haskell; Java; JavaScript; Lua; Objective-C; Perl; PHP; Python; Ruby; Smalltalk; SQL,,MySQL; PostgreSQL,Android; iOS; Linux Desktop; Mac OS; Arduino; Raspberry Pi; WordPress,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Portugal,2.5,Not specified
Not specified,C#; Java; JavaScript; Matlab; PHP; SQL; VB.NET; VBA,.NET Core,SQL Server; MySQL,Windows Phone; Windows Desktop,C#; Java; JavaScript; PHP; SQL; VB.NET; VBA,.NET Core,SQL Server; MySQL,Windows Phone; Windows Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Hungary,0.5,Not specified
Web developer,C#; JavaScript; SQL,AngularJS; Node.js,SQL Server,Raspberry Pi,TypeScript,Hadoop; Node.js; .NET Core,SQL Server,Raspberry Pi,Important,Very important,Important,Somewhat important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Belgium,9.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United Kingdom,2.5,Not specified
Not specified,C; C++; Matlab; R,,,,Matlab; Python,,,,Very important,Not very important,Very important,Important,Important,Very important,Agree,Agree,Strongly agree,Agree,Unknown,India,4.5,Not specified
Not specified,C++; JavaScript; R; SQL; VBA,,SQL Server,,Julia; Python; R; SQL,Node.js; Spark,SQL Server,,Important,Somewhat important,Important,Not very important,Somewhat important,Very important,Strongly agree,Agree,Agree,Somewhat agree,Unknown,Denmark,9.5,Not specified
Web developer,JavaScript; PHP; SQL,,MySQL,WordPress,JavaScript; TypeScript,AngularJS; Hadoop; Node.js; React; Firebase,Cassandra; MongoDB; MySQL,Serverless; WordPress; Amazon Web Services (AWS),Very important,Very important,Important,Not very important,Somewhat important,Somewhat important,Strongly agree,Agree,Agree,Somewhat agree,Agree,Germany,5.5,Web Developer
Mobile developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Pakistan,1.5,Mobile Developer
Web developer; Mobile developer; Graphics programming; Graphic designer; Desktop applications developer; Quality assurance engineer,C#; PHP,Cordova,MySQL,Android; iOS; Windows Desktop,C++; C#; Java; JavaScript; PHP; Python; SQL,,SQL Server; MySQL,Android; iOS; Windows Desktop; Linux Desktop; Mac OS; WordPress,Somewhat important,Very important,Important,Not very important,Important,Important,Agree,Strongly agree,Somewhat agree,Disagree,Agree,Finland,0.5,Web Developer
Web developer,C; C++; C#; Java; JavaScript; PHP; SQL,,SQL Server; MySQL; Oracle,Windows Desktop,C; C++; C#; Java; JavaScript; PHP; SQL,AngularJS,MongoDB; SQL Server; MySQL; Oracle; SQLite,Android; iOS; Windows Desktop; Linux Desktop,Important,Somewhat important,Important,Important,Very important,Very important,Agree,Strongly agree,Strongly agree,Agree,Unknown,India,0.5,Web Developer
Data scientist,Python; R; SQL,Hadoop,SQL Server; PostgreSQL; Oracle; SQLite,Linux Desktop; Mac OS,,,,,Important,Important,Very important,Not at all important,Important,Very important,Agree,Strongly agree,Strongly disagree,Disagree,Unknown,United Kingdom,5.5,Data Scientist
Web developer,Java; JavaScript,React,PostgreSQL,,Java; JavaScript,React,MongoDB; PostgreSQL,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Strongly agree,Agree,Somewhat agree,Russian Federation,14.5,Web Developer
Not specified,JavaScript; PHP,,MySQL,,C; C++; C#; Python,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,United Kingdom,2.5,Not specified
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Strongly agree,Strongly agree,Unknown,Thailand,2.5,Not specified
Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background,Assembly; C; C++; Python,,,Windows Desktop; Linux Desktop,Assembly; C++,,,Linux Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Agree,Strongly agree,Unknown,France,2.5,Embedded Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Strongly agree,Unknown,Unknown,Uzbekistan,4.5,Not specified
Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background,Python,,,,Lua; Python,Hadoop,,,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Strongly disagree,Armenia,2.5,Data Scientist
Graphics programming,JavaScript; PHP; Python; SQL,Node.js,MySQL,Windows Desktop; Raspberry Pi,C#; JavaScript; Python; Ruby; SQL,,MongoDB; MySQL,Windows Desktop; Linux Desktop; Raspberry Pi,Somewhat important,Somewhat important,Very important,Not very important,Important,Important,Agree,Strongly agree,Agree,Agree,Somewhat agree,Austria,2.5,Graphics Developer
Web developer; Mobile developer; Systems administrator,C++; C#; Go; JavaScript; PHP; Python; SQL,AngularJS; .NET Core,MongoDB; SQL Server; PostgreSQL; SQLite,Windows Desktop; Linux Desktop,C++; Go; Haskell; JavaScript; PHP; SQL; TypeScript,AngularJS,MongoDB; SQL Server; PostgreSQL; SQLite,Windows Desktop; Linux Desktop; Arduino,Very important,Important,Important,Not very important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,3.5,Web Developer
Web developer; Mobile developer,,,,,,,,,Somewhat important,Somewhat important,Important,Not very important,Not very important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Unknown,Bahrain,1.5,Web Developer
Not specified,Assembly; C++; PHP,,MySQL,Windows Desktop,C++; C#; Java; JavaScript; PHP; Python; SQL; VB.NET; Visual Basic 6,Hadoop; Firebase; .NET Core,SQL Server; MySQL; Oracle,Android; Windows Desktop; WordPress,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,India,4.5,Not specified
Web developer; Graphic designer; Database administrator; Systems administrator,JavaScript; PHP; Ruby,,MySQL; PostgreSQL,iOS; Mac OS; WordPress; Amazon Web Services (AWS),,,,,Important,Important,Somewhat important,Somewhat important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Agree,United States,20.0,Web Developer
Not specified,JavaScript; Python; R; SQL,,MySQL; SQLite,,Java; Python; R; SQL,Spark,PostgreSQL; SQLite,Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Agree,Unknown,Strongly agree,Germany,4.5,Not specified
Web developer; Mobile developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,Austria,1.5,Web Developer
Not specified,C; Java,,,,Assembly; C++; Haskell; Java; Lua,,,Linux Desktop,Somewhat important,Somewhat important,Somewhat important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Slovak Republic,4.5,Not specified
Mobile developer,Swift,,,iOS,Swift,AngularJS; Node.js; Spark; Firebase,MongoDB; PostgreSQL,Android; iOS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Agree,Disagree,Agree,France,0.5,Mobile Developer
Web developer; Mobile developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Disagree,Agree,Slovenia,13.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Netherlands,4.5,Not specified
Web developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,5.5,Web Developer
Not specified,C; C++; JavaScript; Matlab; Python; SQL,Node.js; Cordova,Redis; SQL Server; MySQL; SQLite,Android; Windows Desktop; Amazon Web Services (AWS),JavaScript; Python,Node.js,Redis; MySQL,Linux Desktop,Important,Somewhat important,Important,Not very important,Important,Somewhat important,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,I prefer not to say,1.5,Not specified
Not specified,Matlab; Python,,,,C++; Matlab; Python,,,,Very important,Somewhat important,Somewhat important,Not very important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Strongly agree,Denmark,0.5,Not specified
Web developer,Java; JavaScript; SQL,AngularJS,MongoDB; SQL Server; MySQL; PostgreSQL; Oracle,Android,Java; JavaScript; SQL,,MongoDB; SQL Server; MySQL; Oracle,Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Spain,9.5,Web Developer
Mobile developer,JavaScript; PHP; SQL,AngularJS,MySQL,Android,JavaScript; Python; SQL; Swift,Node.js; Firebase,MongoDB; MySQL; SQLite,Android; iOS; Raspberry Pi; Amazon Web Services (AWS),Important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Disagree,India,1.5,Mobile Developer
Embedded applications/devices developer,C; C++; VBA,,Oracle,Linux Desktop,Assembly; C; C++; Matlab; Python,,,Raspberry Pi,Important,Not very important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Strongly agree,Strongly agree,Somewhat agree,Disagree,Unknown,France,2.5,Embedded Developer
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,4.5,Web Developer
Web developer; Mobile developer; Graphic designer,C#; PHP; SQL,,MySQL,Android; Windows Desktop; Mac OS; WordPress,JavaScript; PHP; Python; Ruby; SQL,AngularJS; Node.js; React; .NET Core,MySQL,Android; iOS; Windows Desktop; Mac OS; WordPress,Somewhat important,Important,Very important,Not very important,Important,Very important,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,United Kingdom,0.5,Web Developer
Web developer; Mobile developer,JavaScript; PHP; Python,Node.js,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS),Swift,React,Cassandra,iOS; Arduino; Raspberry Pi,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Important,Agree,Agree,Agree,Somewhat agree,Unknown,Ukraine,15.5,Web Developer
Web developer,Java; JavaScript; SQL; TypeScript,AngularJS; Node.js,PostgreSQL,Windows Desktop; Linux Desktop; Mac OS,C; C++; Elixir; Erlang; Go; Haskell; JavaScript; Julia; Rust; Scala; SQL; TypeScript,Hadoop; Node.js; Spark,Cassandra; MongoDB; PostgreSQL,Linux Desktop; Serverless; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Strongly agree,Agree,Unknown,Germany,8.5,Web Developer
Not specified,PHP; Smalltalk,,MySQL; PostgreSQL,Linux Desktop,C; Python,,,Linux Desktop; Arduino; Raspberry Pi,Important,Important,Somewhat important,Not very important,Somewhat important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Unknown,France,4.5,Not specified
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,5.5,Web Developer
Web developer; Graphic designer,C#; Objective-C; SQL; VB.NET; VBA,.NET Core,MySQL,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,United Kingdom,9.5,Web Developer
Developer with a statistics or mathematics background; Data scientist; Database administrator; DevOps specialist,C#; SQL,.NET Core,SQL Server,Windows Desktop,F#; R,Hadoop; Spark,MongoDB,Amazon Web Services (AWS); Microsoft Azure,Important,Important,Very important,Not very important,Somewhat important,Important,Agree,Agree,Agree,Agree,Strongly agree,United Kingdom,13.5,Database Administrator
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Strongly agree,Unknown,Unknown,France,4.5,Not specified
Web developer,JavaScript; PHP; Python,AngularJS; Node.js,MongoDB; MySQL; SQLite,Amazon Web Services (AWS),Clojure; Go; JavaScript; Python; TypeScript,Node.js; React; Spark; Firebase,MongoDB; Redis; PostgreSQL,Arduino; Serverless; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Kenya,0.5,Web Developer
Embedded applications/devices developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Belgium,7.5,Embedded Developer
Web developer,C#; JavaScript; PHP,AngularJS; Node.js,MongoDB; MySQL; PostgreSQL,Windows Desktop; Linux Desktop; Mac OS; WordPress; Microsoft Azure,,Cordova,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Agree,Agree,Unknown,Germany,9.5,Web Developer
Web developer,Java; JavaScript; SQL,,MySQL; PostgreSQL; SQLite,,Go,AngularJS; Node.js,Cassandra; MongoDB; SQL Server; Oracle,Android; iOS; Arduino; Amazon Web Services (AWS),Very important,Very important,Important,Important,Very important,Very important,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,Brazil,7.5,Web Developer
Web developer; Mobile developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Austria,17.5,Web Developer
Embedded applications/devices developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,France,3.5,Desktop Developer
Web developer; Mobile developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spain,7.5,Web Developer
Web developer; Mobile developer,Java; JavaScript,AngularJS; Cordova,SQL Server; MySQL; Oracle; SQLite,Android; iOS; Windows Phone,Java; JavaScript; TypeScript,AngularJS; Cordova,MySQL; SQLite,Android,Somewhat important,Very important,Important,Not very important,Important,Somewhat important,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Germany,3.5,Web Developer
Web developer,PHP; Ruby; SQL,,Redis; MySQL; PostgreSQL,WordPress; Amazon Web Services (AWS),Ruby; SQL,AngularJS; Node.js; React,Cassandra; Redis; MySQL,Android; iOS; WordPress; Amazon Web Services (AWS),Important,Important,Somewhat important,Somewhat important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Disagree,Spain,2.5,Web Developer
Not specified,C; C++; Java; JavaScript; Python; SQL,,Redis; MySQL; PostgreSQL; SQLite,Windows Desktop; Arduino; Raspberry Pi; WordPress; Microsoft Azure,JavaScript; Python,Node.js; React,Redis; PostgreSQL; SQLite,Android; iOS; Windows Desktop; Arduino; Raspberry Pi,Important,Important,Important,Not at all important,Not very important,Important,Somewhat agree,Disagree,Agree,Strongly agree,Strongly agree,China,4.5,Not specified
Web developer,Java; JavaScript; SQL; VBA,,SQLite,Windows Desktop,Python,AngularJS; Node.js,MongoDB,,Important,Very important,Important,Not very important,Important,Important,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Germany,4.5,Web Developer
Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Go; Java; Matlab; SQL,,Oracle,Mac OS; Amazon Web Services (AWS),Go; Java; Matlab; SQL,Hadoop,SQL Server; PostgreSQL; Oracle,Mac OS,Very important,Very important,Important,Important,Important,Important,Agree,Agree,Agree,Agree,Strongly agree,Russian Federation,6.5,Desktop Developer
Web developer; Desktop applications developer,,,,,,,,,Very important,Somewhat important,Important,Very important,Very important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,India,2.5,Web Developer
Web developer; Developer with a statistics or mathematics background,C#; Java; JavaScript; R; SQL,Node.js,SQL Server,Raspberry Pi; Microsoft Azure,C#; JavaScript; R; SQL,.NET Core,MongoDB; SQL Server,Android,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Agree,Disagree,Unknown,Germany,17.5,Web Developer
Data scientist,,,,,,,,,Somewhat important,Somewhat important,Very important,Not very important,Not very important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Unknown,United Kingdom,20.0,Data Scientist
